service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SID00001,1,1,1,1,1,0,0,20210524,20220527
SID00002,0,0,0,0,0,1,0,20210524,20220527
SID00003,0,0,0,0,0,0,1,20210524,20220527
SID00004,1,1,1,1,1,0,0,20210308,20220527
SID00005,1,1,1,1,1,0,0,20210516,20210605
SID00006,0,0,0,0,0,1,0,20210516,20210605
SID00007,0,0,0,0,0,0,1,20210516,20210605
SID00008,1,1,1,1,1,0,0,20210516,20210605
SID00009,1,0,0,0,0,0,0,20210516,20210605
SID00010,0,1,1,1,1,0,0,20210516,20210605
SID00011,0,0,0,0,0,0,1,20210516,20210605
SID00012,1,1,1,1,1,0,0,20210606,20210623
SID00013,0,0,0,0,0,1,0,20210606,20210623
SID00014,0,0,0,0,0,0,1,20210606,20210623
SID00015,1,0,0,0,0,0,0,20210606,20210623
SID00016,0,1,1,1,1,0,0,20210606,20210623
SID00017,1,1,1,1,1,0,0,20210606,20210623
SID00018,1,1,1,1,1,0,0,20240624,20220527
SID00019,0,0,0,0,0,1,0,20240624,20220527
SID00020,0,0,0,0,0,0,1,20240624,20220527
SID00021,1,0,0,0,0,0,0,20240624,20220527
SID00022,0,1,1,1,1,0,0,20240624,20220527
SID00023,0,0,0,0,1,0,0,20210308,20220527
SID00024,1,1,1,1,0,0,0,20210308,20220527
SID00025,1,1,1,1,1,0,0,20210308,20220527
SID00026,0,0,1,0,0,0,0,20210308,20220527
SID00027,1,1,0,1,1,0,0,20210308,20220527
SID00028,1,1,1,1,1,0,0,20200901,20220527
SID00029,1,1,1,1,1,0,0,20210308,20220527
SID00030,1,1,1,1,1,0,0,20210308,20201004
SID00031,0,0,0,0,1,0,0,20210308,20220527
SID00032,1,1,1,1,0,0,0,20210308,20220527
SID00033,1,1,1,1,1,0,0,20210308,20220527
SID00034,1,1,1,1,1,0,0,20210308,20220527
SID00035,0,0,1,0,0,0,0,20210308,20220527
SID00036,1,1,0,1,1,0,0,20210308,20220527
SID00037,0,0,0,0,1,0,0,20210308,20220527
SID00038,1,1,0,1,0,0,0,20210308,20220527
SID00039,0,1,0,1,1,0,0,20210308,20220527
SID00040,1,1,1,1,1,0,0,20210315,20220527
SID00041,1,1,1,1,1,0,0,20210101,20220527
SID00042,0,0,0,0,0,1,0,20210101,20220527
SID00043,1,1,1,1,1,0,0,20210411,20220527
SID00044,0,0,0,0,0,1,0,20210411,20220527
SID00045,0,1,0,0,1,0,0,20210411,20220527
SID00046,0,0,0,1,0,0,0,20210308,20220527
SID00047,1,0,0,1,0,0,0,20210308,20220527
SID00048,1,0,0,0,0,0,0,20210308,20220527
SID00049,0,1,0,0,0,0,0,20210308,20220527
SID00050,1,1,1,1,1,0,0,20210307,20220527
SID00051,0,0,0,0,0,1,0,20210307,20220527
SID00052,0,0,0,0,0,0,1,20210307,20220527
SID00053,0,0,0,0,0,0,0,20210517,20220527
SID00054,1,1,0,0,0,0,0,20210517,20220527
SID00055,0,0,1,0,0,0,0,20210517,20220527
SID00056,0,0,0,1,0,0,0,20210517,20220527
SID00057,0,0,0,0,1,0,0,20210517,20220527
SID00058,0,0,0,0,0,1,0,20210517,20220527
SID00059,0,0,0,0,0,0,1,20210517,20220527
SID00060,0,0,0,0,0,0,0,20210517,20220527
SID00061,1,1,0,0,0,0,0,20210517,20220527
SID00062,0,1,1,0,0,0,0,20210517,20220527
SID00063,0,0,1,0,0,0,0,20210517,20220527
SID00064,0,0,0,1,0,0,0,20210517,20220527
SID00065,0,0,0,0,1,0,0,20210517,20220527
SID00066,1,0,0,0,0,0,0,20210517,20220527
SID00067,1,1,0,0,0,0,0,20210307,20220527
SID00068,0,0,1,0,0,0,0,20210307,20220527
SID00069,0,0,0,1,0,0,0,20210307,20220527
SID00070,0,0,0,0,1,0,0,20210307,20220527
SID00071,1,1,1,1,1,0,0,20210307,20220527
SID00072,0,0,0,0,0,0,0,20210509,20220527
SID00073,0,0,0,0,0,0,0,20210509,20220527
SID00074,1,1,0,0,0,0,0,20210509,20220527
SID00075,0,0,1,0,0,0,0,20210509,20220527
SID00076,0,0,0,1,0,0,0,20210509,20220527
SID00077,0,0,0,0,1,0,0,20210509,20220527
SID00078,1,1,1,1,1,0,0,20210509,20220527
SID00079,1,1,1,1,1,0,0,20210509,20220527
SID00080,0,0,0,0,0,1,0,20210509,20220527
SID00081,0,0,0,0,0,0,1,20210509,20220527
SID00082,0,0,0,0,0,0,1,20210509,20220527
SID00083,1,1,1,1,1,0,0,20191105,20220527
SID00084,0,0,0,0,0,0,1,20210517,20220527
SID00085,1,1,1,1,1,0,0,20210517,20220527
SID00086,1,1,1,1,1,0,0,20210517,20220527
SID00087,1,1,1,1,1,0,0,20210517,20220527
SID00088,1,1,1,1,1,0,0,20210308,20220527
SID00089,1,1,1,1,1,0,0,20210427,20220527
SID00090,0,0,0,0,0,1,0,20210427,20220527
SID00091,0,0,0,0,0,0,1,20210427,20220527
SID00092,0,0,0,0,0,0,0,20210427,20220527
SID00093,0,0,0,0,0,0,0,20210427,20220527
SID00094,1,1,1,1,1,0,0,20210427,20220527
SID00095,0,0,0,0,0,0,1,20210427,20220527
SID00096,0,0,0,0,0,0,1,20210427,20220527
SID00097,1,1,1,1,1,0,0,20210419,20220527
SID00098,1,1,1,1,1,0,0,20210524,20210606
SID00099,1,1,1,1,1,0,0,20210524,20210606
SID00100,0,1,1,1,1,1,0,20210524,20210606
SID00101,0,0,0,0,0,1,0,20210524,20210606
SID00102,0,0,0,0,0,0,1,20210524,20210606
SID00103,0,0,0,0,0,0,1,20210524,20210606
SID00104,1,0,0,0,0,0,0,20210524,20210606
SID00105,1,1,1,1,1,0,0,20210524,20210606
SID00106,1,1,1,1,1,0,0,20210607,20210616
SID00107,0,1,1,1,1,1,0,20210607,20210616
SID00108,0,0,0,0,0,1,0,20210607,20210616
SID00109,0,0,0,0,0,0,1,20210607,20210616
SID00110,1,0,0,0,0,0,0,20210607,20210616
SID00111,1,1,1,1,1,0,0,20210607,20210616
SID00112,1,1,1,1,1,0,0,20210617,20220527
SID00113,1,1,1,1,1,0,0,20210617,20220527
SID00114,0,1,1,1,1,1,0,20210617,20220527
SID00115,0,0,0,0,0,1,0,20210617,20220527
SID00116,0,0,0,0,0,0,1,20210617,20220527
SID00117,0,0,0,0,0,0,1,20210617,20220527
SID00118,1,0,0,0,0,0,0,20210617,20220527
SID00119,1,1,1,1,1,0,0,20210617,20220527
SID00120,0,0,0,0,0,0,1,20210509,20220527
SID00121,1,1,1,1,1,0,0,20210509,20220527
SID00122,1,1,1,1,1,0,0,20201026,20220527
SID00123,0,0,0,0,0,1,0,20201026,20220527
SID00124,1,1,1,1,1,0,0,20201026,20220527
SID00125,1,1,1,1,1,0,0,20201026,20220527
SID00126,1,1,0,1,1,0,0,20210308,20220527
SID00127,1,1,1,1,1,0,0,20210308,20220527
SID00128,1,1,1,1,1,0,0,20210308,20220527
SID00129,0,0,0,1,1,0,0,20210308,20220527
SID00130,1,1,1,0,0,0,0,20210308,20220527
SID00131,0,0,0,0,0,1,0,20210308,20220527
SID00132,0,0,0,0,0,0,1,20210308,20220527
SID00133,1,1,1,1,1,0,0,20210516,20220527
SID00134,0,0,0,0,1,0,0,20210516,20220527
SID00135,0,0,0,0,0,1,0,20210516,20220527
SID00136,0,0,0,0,0,0,1,20210516,20220527
SID00137,1,1,1,1,1,0,0,20190101,20220116
