service_id,date,exception_type
SID00001,20210531,2
SID00001,20210830,2
SID00001,20211227,2
SID00001,20211228,2
SID00001,20220103,2
SID00001,20220415,2
SID00001,20220418,2
SID00001,20220502,2
SID00002,20211225,2
SID00002,20220101,2
SID00003,20210531,1
SID00003,20210830,1
SID00003,20211228,1
SID00003,20220415,1
SID00003,20220418,1
SID00003,20220502,1
SID00004,20210402,2
SID00004,20210405,2
SID00004,20210406,2
SID00004,20210407,2
SID00004,20210408,2
SID00004,20210409,2
SID00004,20210412,2
SID00004,20210413,2
SID00004,20210414,2
SID00004,20210415,2
SID00004,20210416,2
SID00004,20210503,2
SID00004,20210531,2
SID00004,20210601,2
SID00004,20210602,2
SID00004,20210603,2
SID00004,20210604,2
SID00004,20210722,2
SID00004,20210723,2
SID00004,20210726,2
SID00004,20210727,2
SID00004,20210728,2
SID00004,20210729,2
SID00004,20210730,2
SID00004,20210802,2
SID00004,20210803,2
SID00004,20210804,2
SID00004,20210805,2
SID00004,20210806,2
SID00004,20210809,2
SID00004,20210810,2
SID00004,20210811,2
SID00004,20210812,2
SID00004,20210813,2
SID00004,20210816,2
SID00004,20210817,2
SID00004,20210818,2
SID00004,20210819,2
SID00004,20210820,2
SID00004,20210823,2
SID00004,20210824,2
SID00004,20210825,2
SID00004,20210826,2
SID00004,20210827,2
SID00004,20210830,2
SID00004,20210831,2
SID00004,20210901,2
SID00004,20210902,2
SID00004,20210903,2
SID00004,20210906,2
SID00004,20210907,2
SID00004,20210908,2
SID00004,20210909,2
SID00004,20210910,2
SID00004,20210913,2
SID00004,20210914,2
SID00004,20210915,2
SID00004,20210916,2
SID00004,20210917,2
SID00004,20210920,2
SID00004,20210921,2
SID00004,20210922,2
SID00004,20210923,2
SID00004,20210924,2
SID00004,20210927,2
SID00004,20210928,2
SID00004,20210929,2
SID00004,20210930,2
SID00004,20211001,2
SID00004,20211004,2
SID00004,20211005,2
SID00004,20211006,2
SID00004,20211007,2
SID00004,20211008,2
SID00004,20211011,2
SID00004,20211012,2
SID00004,20211013,2
SID00004,20211014,2
SID00004,20211015,2
SID00004,20211018,2
SID00004,20211019,2
SID00004,20211020,2
SID00004,20211021,2
SID00004,20211022,2
SID00004,20211025,2
SID00004,20211026,2
SID00004,20211027,2
SID00004,20211028,2
SID00004,20211029,2
SID00004,20211101,2
SID00004,20211102,2
SID00004,20211103,2
SID00004,20211104,2
SID00004,20211105,2
SID00004,20211108,2
SID00004,20211109,2
SID00004,20211110,2
SID00004,20211111,2
SID00004,20211112,2
SID00004,20211115,2
SID00004,20211116,2
SID00004,20211117,2
SID00004,20211118,2
SID00004,20211119,2
SID00004,20211122,2
SID00004,20211123,2
SID00004,20211124,2
SID00004,20211125,2
SID00004,20211126,2
SID00004,20211129,2
SID00004,20211130,2
SID00004,20211201,2
SID00004,20211202,2
SID00004,20211203,2
SID00004,20211206,2
SID00004,20211207,2
SID00004,20211208,2
SID00004,20211209,2
SID00004,20211210,2
SID00004,20211213,2
SID00004,20211214,2
SID00004,20211215,2
SID00004,20211216,2
SID00004,20211217,2
SID00004,20211220,2
SID00004,20211221,2
SID00004,20211222,2
SID00004,20211223,2
SID00004,20211224,2
SID00004,20211227,2
SID00004,20211228,2
SID00004,20211229,2
SID00004,20211230,2
SID00004,20211231,2
SID00004,20220103,2
SID00004,20220104,2
SID00004,20220105,2
SID00004,20220106,2
SID00004,20220107,2
SID00004,20220110,2
SID00004,20220111,2
SID00004,20220112,2
SID00004,20220113,2
SID00004,20220114,2
SID00004,20220117,2
SID00004,20220118,2
