route_id,agency_id,route_short_name,route_long_name,route_type
AMSY034C:I:2021-05-24,AMSY,34,Leigh Bus Station - St Helens Bus Station,3
AMSY034C:O:2021-05-24,AMSY,34,St Helens Bus Station - Leigh Bus Station,3
AMSY320:I:2021-05-24,AMSY,320,Wigan Bus Station - St Helens Bus Station,3
AMSY320:O:2021-05-24,AMSY,320,St Helens Bus Station - Wigan Bus Station,3
AMSY352A:I:2021-05-24,AMSY,352,Wigan Bus Station - St Helens Bus Station,3
AMSY352A:O:2021-05-24,AMSY,352,St Helens Bus Station - Wigan Bus Station,3
AMSY360A:I:2021-05-24,AMSY,360,Warrington Bus Station - Wigan Bus Station,3
AMSY360A:O:2021-05-24,AMSY,360,Wigan Bus Station - Warrington Bus Station,3
AMSY375B:I:2021-05-24,AMSY,375,Wigan - Southport,3
AMSY375B:O:2021-05-24,AMSY,375,Southport - Wigan,3
AMSY385:I:2021-05-24,AMSY,385,Wigan - Southport,3
AMSY385:O:2021-05-24,AMSY,385,Southport - Wigan,3
AMSY395C:I:2021-05-24,AMSY,395,Wigan Bus Station - Skelmesdale Bus Station,3
AMSY395C:O:2021-05-24,AMSY,395,Skelmesdale Bus Station - Wigan Bus Station,3
AMSY662:O:2021-03-08,AMSY,662,Billinge - St Peter's Catholic High School,3
ANWE010A:I:2021-05-16,ANWE,10,Salford Academy - Manchester Shudehill,3
ANWE010A:I:2021-06-06,ANWE,10,Salford Academy - Manchester Shudehill,3
ANWE010A:I:2024-06-24,ANWE,10,Salford Academy - Manchester Shudehill,3
ANWE010A:O:2021-05-16,ANWE,10,Manchester Shudehill - Salford Academy,3
ANWE010A:O:2021-06-06,ANWE,10,Manchester Shudehill - Salford Academy,3
ANWE010A:O:2024-06-24,ANWE,10,Manchester Shudehill - Salford Academy,3
ANWE019D:I:2021-05-16,ANWE,19,Altrincham - Wythenshawe Bus Station,3
ANWE019D:I:2021-06-06,ANWE,19,Altrincham - Wythenshawe Bus Station,3
ANWE019D:I:2024-06-24,ANWE,19,Altrincham - Wythenshawe Bus Station,3
ANWE019D:O:2021-05-16,ANWE,19,Wythenshawe Bus Station - Altrincham,3
ANWE019D:O:2021-06-06,ANWE,19,Wythenshawe Bus Station - Altrincham,3
ANWE019D:O:2024-06-24,ANWE,19,Wythenshawe Bus Station - Altrincham,3
ANWE245:I:2021-05-16,ANWE,245,Trafford Centre - Altrincham Interchange,3
ANWE245:I:2021-06-06,ANWE,245,Trafford Centre - Altrincham Interchange,3
ANWE245:I:2024-06-24,ANWE,245,Trafford Centre - Altrincham Interchange,3
ANWE245:O:2021-05-16,ANWE,245,Altrincham Interchange - Trafford Centre,3
ANWE245:O:2021-06-06,ANWE,245,Altrincham Interchange - Trafford Centre,3
ANWE245:O:2024-06-24,ANWE,245,Altrincham Interchange - Trafford Centre,3
ANWE247:I:2021-05-16,ANWE,247,Trafford Centre - Altrincham,3
ANWE247:I:2021-06-06,ANWE,247,Trafford Centre - Altrincham,3
ANWE247:I:2024-06-24,ANWE,247,Trafford Centre - Altrincham,3
ANWE247:O:2021-05-16,ANWE,247,Altrincham - Trafford Centre,3
ANWE247:O:2021-06-06,ANWE,247,Altrincham - Trafford Centre,3
ANWE247:O:2024-06-24,ANWE,247,Altrincham - Trafford Centre,3
ANWE263:I:2021-05-16,ANWE,263,Piccadilly - Altrincham,3
ANWE263:I:2021-06-06,ANWE,263,Piccadilly - Altrincham,3
ANWE263:I:2024-06-24,ANWE,263,Piccadilly - Altrincham,3
ANWE263:O:2021-05-16,ANWE,263,Altrincham - Piccadilly,3
ANWE263:O:2021-06-06,ANWE,263,Altrincham - Piccadilly,3
ANWE263:O:2024-06-24,ANWE,263,Altrincham - Piccadilly,3
ANWE362:I:2021-05-16,ANWE,362,Chorley Bus Station - Wigan Bus Station,3
ANWE362:I:2021-06-06,ANWE,362,Chorley Bus Station - Wigan Bus Station,3
ANWE362:I:2024-06-24,ANWE,362,Chorley Bus Station - Wigan Bus Station,3
ANWE362:O:2021-05-16,ANWE,362,Wigan Bus Station - Chorley Bus Station,3
