,stop_name,numE,fast pile,slow pile,station cost,lon,lat
1,Altrincham Interchange,16,8 ,13 ,887600,-2.347416554,53.38790379
2,Piccadilly Gardens,17,9 ,14 ,911825,-2.235482792,53.48144221
3,Bolton Interchange,46,23 ,37 ,1614350,-2.428120796,53.57570802
4,Rochdale Interchange,15,8 ,12 ,863375,-2.154210565,53.61616629
5,Middleton Bus Station,35,18 ,28 ,1347875,-2.199887413,53.5479224
6,Bury Interchange,11,6 ,9 ,766475,-2.296464551,53.59138712
7,Leigh Bus Station,27,14 ,22 ,1154075,-2.51827055,53.49583036
8,Salford Shopping Centre,10,5 ,8 ,742250,-2.286238517,53.48885466
9,Wigan Bus Station,27,14 ,22 ,1154075,-2.634072444,53.54661443
10,Stockport Bus Station,40,20 ,32 ,1469000,-2.164107102,53.4083953
11,Ashton-under-Lyne Interchange,14,7 ,11 ,839150,-2.098319026,53.49023598
